Comment,Sentiment
"-A country is not great until it can protect ALL its people with free healthcare.
-Is Pence feeling the heat getting closer ?
- sorry about Cheney, Wyoming got its priority really wrong.",0
.ranilta.redi.netuwa.inna.kiyapalla.modaya.oya.naki.heganno.tikat.gedara.yawapalla,1
""" Every minute I spend is my choice "" how great is this sentence",2
"""""""""""""""'""""SO WE CAN ALL AGREE THAT THIS MAN NEVER
DISAPPOINT US WITH HIS VIDEOS""""""""""""""""""""""""❤️🤩",2
"""""""""I Respect every one who were involved in this, seriously the best piece that I've ever seen on YouTube, hats off to well all  ! Love your videos  ❤❤🤍🤍❣️😈😈",2
"""""""One of the best thing about this dude is that he never takes credit for himself when he achieves. He always respect  the audience ande he is polite in all of his videos""""""😍🥰❤😘💖",2
"""(...) as long as people understand that this is not traditional
chefs have the creative freedom to do whatever they want.""
pitty so many prefer to gatekeep stuff and belittle others who merely do things differently
respect to Taka Sakaeda. what a lovely person",2
"""And Jacobs fires the football into the playclock""  🤣",1
"""Compare that to ... physicians, only 42% said they were burned out"" - Yes, indeed, a perfectly acceptable percentage.",2
"""confidence can be very quiet"" - finally someone said it, thank you!",2
"“Conte once a Chelsea friend, now a devoted foe.” That was colddddd 🥶",0
“Correcting gods mistake one bullet at a time”😂😂😂 Has to be some of the funniest narrating of all time keep up the great work always looking forward to the next post,2
"""Everyone is intelligent but our grades made us idiots""

-Jabin Baret (2021)",0
"""Everyone is intelligent but our grades made us idiots""

-Jabin Baret (2021)",0
"""Forgiveness"" means the debt goes away, never to be seen nor heard of again.  This is robbing Peter to pay Paul.",0
"""Forgiveness"" means the debt goes away, never to be seen nor heard of again.  This is robbing Peter to pay Paul.",0
"""GG, well played bro"" is just killing them with kindness",0
"""GG, well played bro"" is just killing them with kindness",0
"“Have a drink or smoke a joint.” Thanks, Chef. I’ll do both.",2
"""Hey, scramble this for me really quick.""",1
"“His freshmen year of highschool, he could only throw 78 mph” 

Me who’s a senior and still hasn’t broken 75 😭😂",1
"""Hurdles....kicks a man!"" is one of the best calls of all time.",2
"""I don't care how many cops there."" ""They are not going in to protect us."".....Soooo sad.",0
"""I don't care how many cops there."" ""They are not going in to protect us."".....Soooo sad.",0
"""I get ""knowing is half the battle"", but the other half is extreme violence""

😂😂😂",0
"""I get ""knowing is half the battle"", but the other half is extreme violence""

😂😂😂",0
"""I love how he brings joy and laughter to all of us""💪💪👍",2
"""I was never good at sports""

Sis




We all felt that",0
"""I was never good at sports""

Sis




We all felt that",0
"""I worried because my grass is dead."" 

Wow, you aren't ready for this world, lady.",0
"""I worried because my grass is dead."" 

Wow, you aren't ready for this world, lady.",0
"""I've been down my whole life, and now look at me now.. LOOK AT ME NOW!""

God those words... 
tears are speaking",0
"""I've been down my whole life, and now look at me now.. LOOK AT ME NOW!""

God those words... 
tears are speaking",0
"""If machines produce everything we need, the outcome will depend on how things are distributed. Everyone can enjoy a life of luxurious leisure if the machine-produced wealth is shared, or most people can end up miserably poor if the machine-owners successfully lobby against wealth redistribution. So far, the trend seems to be toward the second option, with technology driving ever-increasing inequality."" -- Stephen Hawking",1
"""If the lead singer is Bret Michaels then I'm sure it is Poison"". That had me laughing for ages 🤣",2
"""In a room with 27 people, can everyone shake hands with 9 people?"" No, there's a pandemic",0
