Comment,Sentiment
Let's not forget that Apple Pay in 2014 required a brand new iPhone in order to use it.  A significant portion of Apple's user base wasn't able to use it even if they wanted to.  As each successive iPhone incorporated the technology and older iPhones were replaced the number of people who could use the technology increased.,1
Here in NZ 50% of retailers don’t even have contactless credit card machines like pay-wave which support Apple Pay. They don’t like the high fees that come with these.,0
"I will forever acknowledge this channel with the help of your lessons and ideas explanations, Now It's quite helpful while you'll just sit at your comfort and monitor your account Growth.",2
"Whenever I go to a place that doesn’t take Apple Pay (doesn’t happen too often), it’s such a drag. Between ‘contactless Covid’ habits and my getting the Apple Card, I’ve gotten so used to Apple Pay that I get seriously annoyed when a store doesn’t take it. It feels like a shock, it’s crazy how quickly it took over my shopping routine! I’ve officially been brainwashed by Apple because now it feels so inconvenient to even carry a physical card in my pocket.",0
"Apple Pay is so convenient, secure, and easy to use. I used it while at the Korean and Japanese airports, no need for physical credit cards.",2
"We’ve been hounding my bank to adopt Apple pay. I understand why they don’t want to do it with the extra fees, but its just so easy and quick at the checkout.",1
We only got Apple Pay in South Africa in 2020/2021 and it’s widely accepted.,2
"For now, I need both Apple Pay and the physical credit card.",1
"In the United States, we have an abundance of retailers that accept Apple Pay, but it's still good to carry the physical card with you, being there are still a large quantity of places that do NOT accept Apple Pay.",2
"In Cambodia, we have a universal QR code system, we scan and send money back and forth, all banks take no profit from merchant, they receive 100% of the payment. A lot of stores and supermarkets start abandon POS machine all together.",1
"Wow, you really went to town on the PSU test rack. That's a serious bit of kit. Very flexible, good choices. Wouldn't surprise me if Choma start offering this bespoke rack to the PSU makers. They all watch your videos, so they'll want to make sure it passes on this exact same rack. You can really push the industry here. Well done. Open source the test interface hardware and software.",2
The lab is the most exciting thing in IT I've seen for a while. This is reallly going to shake up how the qualiity of even basic components are manufactured.,2
"Linus, I'm an engineer and love the LMG content across all the channels.  Very much looking forward to more lab content and hope your engineering team will get more on camera time and hosting roles.",2
"There used to be a time where Linus was the smartest guy in the room, this video clearly shows that the team he has built are experts in their respective fields and make Linus look like a child. Kudos to Linus and LMG, you've grown beyond what I imagined. All the best!",2
Holy crap. I was looking at Chroma systems back when I was designing power supplies. Looks like you guys went all out! Re the multimeter: Most oscilloscopes are terrible for making accurate voltage measurements (8-10 bit ADCs). They are just for looking at the waveforms.,0
"I love the direction this channel is going. Most tech channels, even the best trusted ones are going to review products based on their own experience or at most some things they can measure with their pc, but you're really going to mathematically demonstrate if a product is a quality one and why it is, love it",2
"I am more excited for the LTT Lab than I have been for a lot of content for a while now. As everyone seems to be saying, it's exciting to see how enthusiastic this new crew is to get things running.",2
I adore the working relationship Linus has with his team. 99% of employees walk on eggshells around their boss and I wish it could be more like this.,2
"LMGs growth is honestly something to truly aspire for, this IS the content we want to watch. 

More technical, in depth, engineering oriented and science-based content will make us consumers much much more educated on these topics thus when picking a product not only will we pick the best choice but we'll know exactly why we picked it (which helps greatly with buyers remorse).",2
